mae,rmse,r2_score,slice,condition,n_sample,mae_vs_global,r2_score_vs_global,rmse_vs_global,flag
27.2009265294582,34.11480869835394,0.6254154518069512,time_day,night,1552,14.076238229863636,-14.56864562137824,11.814931977661857,False
25.763071232071066,32.85326494285829,0.7003646535270531,weather,exeter_direct_radiation_very_low,9928,8.046108216933035,-4.330632163211767,7.68008747494604,False
25.763071232071066,32.85326494285829,0.7003646535270531,weather,exeter_direct_radiation_low,9928,8.046108216933035,-4.330632163211767,7.68008747494604,False
25.560255446118536,32.79332527086551,0.6552232915777254,time_day,overnight,4644,7.195531973140712,-10.49691359851126,7.483628793149033,False
25.45305924903572,32.14735330427673,0.6844978786090301,weather,london_temperature_2m_medium,6233,6.7459686502696625,-6.49802356192295,5.366386625905517,False
25.28628763305273,31.997104227857854,0.7368053155165504,season,autumn,4368,6.046555761732497,0.6471391713814612,4.873929218096751,False
25.080857836619334,32.05865656700437,0.7203918310385398,weather,exeter_direct_radiation_medium,12280,5.185016785401353,-1.5949324067633053,5.075673588865159,False
24.9468661147418,31.160704439363908,0.6462297775952608,weather,aberdeen_wind_speed_100m_extreme,1863,4.623077412888521,-11.725421909147283,2.132539510081366,False
24.904956069742095,33.17593787912521,0.7236806192521045,weather,london_temperature_2m_very_low,1859,4.447313536888453,-1.1456860209608566,8.737682513474244,False
24.80881543836345,32.2091369247627,0.7589239936627822,season,winter,5383,4.044115448880592,3.6685365891105715,5.568889045985226,False
24.806504987532087,31.569051122889295,0.7533734915760448,weather,london_temperature_2m_low,4302,4.034425795876628,2.9103415215257833,3.470939412757601,False
24.684678415841013,31.00702784389334,0.6884881614619316,season,spring,4416,3.523505074117095,-5.952953452938193,1.6288480422195217,False
24.681456737499992,31.071859036611173,0.6008198318471232,carbon_intensity,medium,6173,3.5099938819328047,-17.928391721157322,1.8413392060385059,False
24.57362137681719,31.27471776041072,0.7104036329837876,time_day,evening_peak,3099,3.0577500114333134,-2.959313931322738,2.5062303564853172,False
24.42993339553936,31.11809242410059,0.6945020064592407,weather,aberdeen_wind_speed_100m_medium,6153,2.455146112435025,-5.1314660373989245,1.992874075336326,False
24.16587457087538,30.48411759253665,0.710813417213058,weekday,weekend,5335,1.3477265781613124,-2.9033376652928156,-0.08504619951169579,False
24.14869664526213,30.654588665237004,0.4248844106721622,carbon_intensity,low,4481,1.275685166909013,-41.96105875988223,0.4736909626013919,False
23.915692464816217,31.098801813693463,0.7287005467110258,weather,aberdeen_wind_speed_100m_low,4308,0.29850373272823916,-0.4599671113000525,1.929647037789306,False
23.71510373884861,30.520508191562904,0.735322706393449,weekday,week_day,13248,-0.5427325856348308,0.4446157047246935,0.034227878520676214,False
23.028101403774663,29.658993738888668,0.65182320825472,carbon_intensity,high,4603,-3.4239080469006145,-10.961362825733389,-2.7894778258056085,False
23.017005669141938,31.041395130962474,0.6648554379771858,carbon_intensity,extreme,1862,-3.470441743682129,-9.181168504427673,1.7414904990443514,False
22.94829179918772,29.275245531276155,0.7386499394903642,weather,aberdeen_wind_speed_100m_high,4463,-3.7586164788369736,0.8991136372295205,-4.0472535943917975,False
22.93752125249786,29.591531966474953,0.3683725582192986,carbon_intensity,very_low,1911,-3.8037863905577396,-49.680541992258796,-3.0105909957556465,False
22.80912572617199,29.05314786160623,0.7541194863592839,time_day,morning,4644,-4.342256233963104,3.012243936164527,-4.775202446344117,False
22.734378027857492,29.32902254885429,0.7843640680787578,weather,aberdeen_wind_speed_100m_very_low,1875,-4.655735858667221,7.143634632451823,-3.870993671153511,False
21.72136593452331,27.673183450421178,0.7593924032369624,weather,exeter_direct_radiation_high,4475,-8.904142940086778,3.7325210401031317,-9.298183305846807,False
21.59735955735594,27.33128837824422,0.698871022308488,weather,london_temperature_2m_high,4502,-9.42420540959299,-4.534661241123961,-10.418780949438721,False
21.55592988443017,27.6355845412987,0.7844520705392022,time_day,afternoon,4644,-9.597954683660802,7.155655712779607,-9.421417749373584,False
20.721868891839943,26.153062723709994,0.6452320010889836,weather,exeter_direct_radiation_extreme,1859,-13.095870108928287,-11.861717547593942,-14.280541470535745,False
20.42187788987519,26.40580715090995,0.7131587904089639,weather,london_temperature_2m_extreme,1866,-14.35398331951635,-2.582961173041698,-13.452144595003512,False
20.402793794757212,26.047122734469333,0.6751362287806264,season,summer,4416,-14.434018893992906,-7.776818995819246,-14.62777110900153,False
